emotion,color,correlation,tone,sentiment,hex
genuine,brown,0,neutral,Positive,#A52A2A
natural_and_organic,brown,1,neutral,Positive,#A52A2A
agriculture_and_farming,brown,0,neutral,Neutral,#A52A2A
quiet,grey,0,neutral,Neutral,#808080
emotional,silver,0,cool,Neutral,#C0C0C0
emotional_control,purple,1,cool,Positive,#800080
emotional_control,turquoise,1,cool,Positive,#40E0D0
conventional,black,0,neutral,Neutral,#000000
conventional,grey,0,neutral,Neutral,#808080
compromise,grey,2,neutral,Neutral,#808080
detached,white,0,neutral,Negative,#FFFFFF
detached,grey,2,neutral,Negative,#808080
respectable,silver,0,cool,Positive,#C0C0C0
respectable,purple,1,cool,Positive,#800080
patient,silver,0,cool,Positive,#C0C0C0
non-committal,silver,0,cool,Neutral,#C0C0C0
achievement,gold,0,warm,Positive,#FFD700
status,gold,2,warm,Neutral,#FFD700
triumph,gold,0,warm,Positive,#FFD700
prosperity,gold,0,warm,Positive,#FFD700
prestige,gold,1,warm,Positive,#FFD700
prestige,silver,1,cool,Positive,#C0C0C0
value,gold,0,warm,Positive,#FFD700
knowledge,yellow,0,warm,Neutral,#FFFF00
knowledge,gold,0,warm,Neutral,#FFD700
knowledge,magenta,0,warm,Neutral,#FF00FF
win,gold,0,warm,Positive,#FFD700
lacking_kindness,gold,0,warm,Negative,#FFD700
lacking_generosity,gold,0,warm,Negative,#FFD700
enlightenment,gold,1,warm,Positive,#FFD700
disinterested,white,0,neutral,Negative,#FFFFFF
efficient,white,1,neutral,Positive,#FFFFFF
intimidating,black,0,neutral,Negative,#000000
unfriendly,black,0,neutral,Negative,#000000
unapproachable,black,0,neutral,Negative,#000000
disciplined,black,0,neutral,Positive,#000000
mind,yellow,2,warm,Neutral,#FFFF00
rejuvenating,yellow,1,warm,Positive,#FFFF00
rejuvenating,green,1,cool,Positive,#008000
diplomatic,green,1,cool,Positive,#008000
higher_mind,indigo,2,cool,Positive,#4B0082
higher_mind,purple,0,cool,Positive,#800080
higher_mind,blue,0,cool,Positive,#0000FF
rescuer,white,1,neutral,Positive,#FFFFFF
unity,white,1,neutral,Positive,#FFFFFF
